,_latitude,_longitude,number_of_operators,number_of_available_trolleys,serving_customer,describe_the_accident,maximum_number_of_vehicles_in_the_traffic_jam
162,19.07196103,-98.16697595,2.0,1.0,1.0,,5.0
163,19.07199947,-98.16670171,1.0,0.0,1.0,,5.0
164,19.0706946,-98.16773004,1.0,0.0,1.0,,5.0
165,19.0754693,-98.1676052,2.0,0.0,1.0,,5.0
166,19.0724087,-98.1656903,1.0,0.0,1.0,,5.0
167,19.0701709,-98.1667233,2.0,1.0,1.0,,5.0
168,19.0718907,-98.166637,1.0,0.0,1.0,,5.0
169,19.07335886,-98.16430932,1.0,0.0,1.0,,5.0
170,19.07263004,-98.16593052,1.0,0.0,1.0,,5.0
171,19.0736147,-98.16531539,1.0,1.0,1.0,,5.0
172,19.07365081,-98.16529302,2.0,1.0,1.0,,5.0
173,19.07185755,-98.16670569,1.0,0.0,1.0,,5.0
174,19.05814233,-98.22542636,2.0,1.0,1.0,,5.0
175,19.04351354,-98.2005907,1.0,0.0,1.0,,5.0
176,19.04414633,-98.19590563,2.0,1.0,1.0,,5.0
177,19.04361212,-98.19493308,1.0,0.0,1.0,,5.0
178,19.04360708,-98.19485605,1.0,0.0,1.0,,5.0
179,19.04333554,-98.19450331,1.0,1.0,1.0,,5.0
180,19.04357604,-98.19487287,2.0,0.0,1.0,,5.0
181,19.04358952,-98.19490105,2.0,1.0,1.0,,5.0
